GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service,com.reimbes.implementation,ReportGeneratorServiceImpl,0,371,1,7,0,71,1,9,0,6
service,com.reimbes.implementation,FuelServiceImpl,2,24,0,0,1,7,1,3,1,3
service,com.reimbes.implementation,ParkingServiceImpl,2,32,0,0,1,9,1,3,1,3
service,com.reimbes.implementation,AdminServiceImpl,0,74,0,2,0,13,0,8,0,7
service,com.reimbes.implementation,UserDetailsImpl,152,0,22,0,14,0,27,0,16,0
service,com.reimbes.implementation,AuthServiceImpl,0,196,1,9,0,47,1,14,0,10
service,com.reimbes.implementation,TesseractService,136,19,2,0,32,5,7,3,6,3
service,com.reimbes.implementation,TransactionServiceImpl,455,268,51,25,93,50,35,18,6,9
service,com.reimbes.implementation,UserDetailsServiceImpl,62,0,2,0,11,0,4,0,3,0
service,com.reimbes.implementation,UserServiceImpl,21,355,10,36,3,64,10,25,0,12
